,GRM_F30,GRM_F31,GRM_F32,GRM_F33,GRM_F34,GRM_F35,GRM_F40,GRM_F41,GRM_F42,GRM_F51,number,label
141,9,2,50,0,10,9,12,10,5,2,1149,0
142,2,1,9,0,4,2,1,0,3,0,1001,0
143,4,2,10,0,0,3,2,1,2,2,1015,0
144,2,1,26,0,1,2,7,4,2,0,1029,0
145,6,3,28,0,10,7,10,2,3,1,1072,0
146,3,2,8,0,5,2,3,3,3,2,1066,0
147,7,9,43,0,6,10,8,5,2,4,1099,0
148,4,1,10,1,3,1,2,3,1,0,1106,0
149,14,7,44,0,10,7,11,8,4,1,1112,0
150,7,3,46,1,10,18,11,6,3,2,1113,0
151,4,2,16,0,1,3,4,5,1,1,1107,0
152,9,2,63,1,5,9,14,4,4,7,1098,0
153,4,0,12,0,2,1,5,6,0,1,1067,0
154,10,7,30,0,13,7,10,6,3,2,1073,0
155,3,1,29,0,5,2,11,1,1,0,1065,0
156,5,0,13,0,1,3,3,1,2,2,1071,0
157,0,1,3,0,3,1,1,1,0,0,1059,0
158,4,1,13,0,6,4,5,3,2,2,1111,0
159,4,0,13,0,0,0,2,1,2,0,1105,0
160,2,0,6,0,0,1,1,0,0,4,1139,0
161,0,0,0,0,0,0,0,0,0,0,1138,0
162,4,0,9,0,0,0,2,3,1,1,1104,0
163,2,0,4,0,2,2,2,2,0,0,1110,0
164,12,4,52,1,11,14,8,5,2,5,1058,0
165,7,3,39,1,11,8,10,6,2,6,1070,0
166,6,4,30,0,6,7,12,1,2,2,1064,0
167,5,1,6,0,2,1,3,2,2,0,1048,0
168,1,0,0,0,1,1,1,0,1,0,1060,0
169,8,11,46,1,14,8,14,8,2,11,1074,0
170,22,9,76,0,17,11,16,20,8,1,1128,0
171,2,0,28,0,6,9,8,0,1,4,1114,0
172,3,3,33,0,6,8,5,5,4,0,1100,0
173,11,4,32,0,18,9,2,6,6,4,1101,0
174,8,5,48,0,13,10,6,5,2,6,1115,0
175,19,11,95,0,16,11,14,16,5,3,1129,0
176,15,15,72,0,27,14,15,11,4,4,1075,0
177,12,4,40,0,9,8,5,5,2,2,1061,0
178,2,1,29,1,5,4,9,1,2,1,1049,0
179,2,4,42,3,5,7,7,4,1,9,1077,0
180,8,3,32,0,5,2,10,3,1,1,1063,0
181,1,3,29,1,5,6,8,3,0,1,1088,0
182,0,0,0,0,0,0,0,0,0,0,1103,0
183,3,1,15,0,6,2,2,2,3,0,1117,0
184,31,15,90,3,42,20,5,15,13,3,1116,0
185,12,3,24,0,3,10,4,7,3,3,1102,0
186,14,2,23,0,3,6,2,3,3,0,1089,0
187,2,1,26,0,5,3,7,4,1,0,1062,0
188,3,2,22,0,2,3,2,3,1,1,1076,0
0,14,5,55,5,10,18,8,12,6,4,1053,1
1,7,5,39,0,9,7,9,2,1,3,1047,1
2,5,0,10,0,6,1,2,1,1,0,1090,1
3,6,2,14,0,5,9,1,2,3,0,1084,1
4,5,5,14,0,3,3,5,4,0,3,1127,1
5,7,4,42,0,10,13,8,0,2,6,1133,1
6,2,4,21,0,4,2,5,1,2,1,1132,1
7,4,3,15,1,0,5,6,1,0,0,1126,1
8,7,2,15,0,4,4,2,2,4,1,1085,1
9,0,0,0,0,0,0,0,0,0,1,1091,1
10,9,1,35,2,6,13,10,3,3,3,1046,1
11,4,0,13,0,9,12,0,2,2,3,1052,1
12,9,4,31,2,13,11,9,5,4,3,1044,1
13,8,6,37,1,11,13,3,5,6,4,1050,1
14,6,1,6,0,2,2,1,1,2,0,1078,1
15,19,14,69,0,17,26,19,8,8,16,1087,1
16,4,1,11,0,3,0,2,3,2,4,1093,1
17,3,0,17,0,3,6,6,2,0,2,1130,1
18,8,6,41,1,10,15,8,5,3,3,1124,1
19,3,0,6,0,0,1,1,1,1,0,1118,1
20,1,0,8,0,2,0,3,1,1,0,1119,1
21,8,4,28,0,10,5,4,7,3,0,1125,1
22,6,5,21,1,10,5,1,5,3,2,1131,1
23,3,0,16,0,6,5,5,1,2,4,1092,1
24,2,1,10,0,0,1,2,3,1,1,1086,1
25,6,3,26,1,6,5,6,4,3,2,1079,1
26,4,2,9,0,2,2,2,2,2,2,1051,1
27,1,2,11,2,2,4,3,3,2,1,1045,1
28,7,4,28,3,6,6,10,5,3,6,1069,1
29,15,11,57,2,25,13,13,8,1,3,1041,1
30,9,10,48,1,10,6,13,7,3,6,1055,1
31,1,2,9,0,7,0,0,1,1,1,1082,1
32,1,0,3,0,0,0,3,0,0,0,1096,1
33,0,0,2,0,0,0,0,0,0,0,1109,1
34,0,0,1,0,1,1,0,1,0,0,1135,1
35,6,1,20,0,3,4,5,1,4,0,1121,1
36,4,2,13,0,2,1,3,4,2,0,1120,1
37,9,6,41,0,13,12,9,6,1,3,1134,1
38,3,3,30,0,5,7,8,4,0,0,1108,1
39,3,1,16,1,4,7,2,4,1,2,1097,1
40,9,8,63,0,20,21,18,12,5,2,1083,1
41,15,12,82,4,15,17,14,11,10,6,1054,1
42,8,8,33,0,11,7,8,8,3,3,1040,1
43,11,1,19,0,9,5,5,8,6,1,1068,1
44,12,0,44,1,9,11,9,8,1,8,1056,1
45,31,26,122,2,44,44,22,18,15,15,1042,1
46,9,0,10,0,2,5,2,2,3,2,1095,1
47,3,5,23,1,4,5,5,5,3,4,1081,1
48,13,3,54,0,19,11,16,12,7,2,1122,1
49,4,3,26,0,9,10,11,4,5,2,1136,1
50,11,6,34,0,6,6,4,3,3,5,1137,1
51,9,12,53,1,12,12,7,10,6,4,1123,1
52,7,2,18,0,7,2,1,2,3,1,1080,1
53,2,0,22,0,6,2,4,7,1,1,1094,1
54,9,1,50,0,6,11,13,3,1,0,1043,1
55,8,3,19,1,6,5,5,5,3,0,1057,1
56,4,1,6,0,4,0,0,0,1,0,1030,1
57,8,3,34,0,2,11,4,5,2,6,1024,1
58,2,0,10,0,2,3,1,2,1,1,1018,1
59,12,6,37,1,11,12,5,3,4,3,1144,1
60,16,5,60,2,10,7,9,12,4,9,1150,1
61,8,4,34,0,6,6,4,2,3,1,1178,1
62,5,5,30,0,8,7,1,6,3,3,1187,1
63,4,1,25,0,7,7,6,3,2,3,1186,1
64,5,0,12,0,5,7,1,0,3,3,1179,1
65,7,4,57,4,18,17,11,6,5,2,1151,1
66,2,0,11,0,1,5,1,1,2,3,1145,1
67,9,14,60,0,15,24,13,5,7,6,1019,1
68,7,0,18,0,5,6,6,3,2,2,1025,1
69,1,3,4,0,5,2,0,0,1,0,1031,1
70,2,5,14,0,4,5,3,4,1,0,1027,1
71,2,1,11,0,9,4,2,0,2,1,1033,1
72,6,2,10,0,2,5,2,1,4,1,1153,1
73,4,4,30,2,21,16,8,1,1,6,1147,1
74,2,1,7,0,1,1,1,1,0,4,1184,1
75,2,3,17,0,3,4,3,0,0,0,1185,1
76,3,2,15,1,4,10,4,2,2,2,1146,1
77,10,7,47,0,19,18,10,7,7,6,1152,1
78,1,0,9,0,3,4,3,2,1,3,1032,1
79,0,0,4,0,1,1,0,0,0,0,1026,1
80,22,8,40,0,22,12,10,3,13,4,1022,1
81,3,3,30,0,14,13,6,5,2,3,1036,1
82,9,12,41,0,22,10,9,3,5,5,1156,1
83,5,8,41,2,11,14,8,2,3,3,1142,1
84,13,6,43,1,14,9,9,3,5,5,1181,1
85,2,1,5,1,0,1,3,1,1,0,1180,1
86,11,4,31,0,11,13,11,6,6,11,1143,1
87,21,7,93,4,26,27,23,17,8,2,1157,1
88,1,0,10,1,2,2,5,0,1,0,1037,1
89,4,2,28,1,9,6,8,1,1,6,1023,1
90,0,1,6,1,3,3,2,2,0,2,1009,1
91,10,11,65,1,15,24,12,9,4,0,1035,1
92,2,3,15,1,8,4,1,3,1,0,1021,1
93,5,2,29,0,5,10,7,1,2,3,1169,1
94,12,11,57,0,9,19,12,6,8,10,1141,1
95,19,8,59,1,29,15,10,8,12,4,1155,1
96,4,3,31,0,12,9,10,5,3,2,1182,1
97,6,4,31,1,4,8,7,5,4,3,1183,1
98,2,2,36,2,1,6,15,2,1,2,1154,1
99,4,2,36,1,8,5,3,6,1,5,1140,1
100,19,5,28,0,6,6,3,5,7,3,1168,1
101,10,3,25,0,6,9,2,3,5,0,1020,1
102,9,3,26,1,13,18,4,2,3,1,1034,1
103,8,11,81,1,20,24,23,10,4,11,1008,1
104,2,5,31,0,13,10,7,9,1,1,1011,1
105,5,3,28,2,7,10,10,5,1,3,1005,1
106,16,10,72,0,19,14,13,11,8,4,1039,1
107,7,1,31,0,7,6,8,8,2,10,1165,1
108,7,3,28,1,4,7,7,3,5,0,1171,1
109,16,8,61,2,16,12,12,10,14,3,1159,1
110,4,3,10,0,5,2,1,0,1,2,1158,1
111,8,4,17,0,2,4,4,2,1,0,1170,1
112,3,4,26,2,6,9,5,2,2,1,1164,1
113,8,6,31,0,12,12,6,1,3,6,1038,1
114,2,1,8,0,2,4,2,1,1,0,1004,1
115,0,0,4,1,1,2,0,1,0,0,1010,1
116,8,3,39,2,9,8,11,4,4,3,1006,1
117,2,2,27,1,7,3,6,2,1,2,1012,1
118,13,11,102,3,35,30,12,8,4,7,1172,1
119,19,15,102,4,29,23,17,9,6,4,1166,1
120,14,8,75,1,14,15,12,6,5,6,1167,1
121,32,16,131,3,15,28,15,12,11,15,1173,1
122,19,11,70,1,22,23,12,13,12,10,1013,1
123,3,1,25,0,3,5,3,1,0,0,1007,1
124,20,15,62,1,21,17,13,12,5,2,1003,1
125,0,0,10,0,5,2,4,1,0,1,1017,1
126,4,5,28,0,5,10,5,3,4,2,1177,1
127,16,10,62,0,12,18,14,13,10,3,1163,1
128,10,5,55,0,6,11,6,5,7,6,1188,1
129,20,8,66,4,45,24,19,6,9,5,1189,1
130,5,5,21,0,15,4,0,3,2,0,1162,1
131,4,2,9,0,2,5,1,2,2,0,1176,1
132,4,2,13,1,4,5,3,4,1,1,1016,1
133,5,3,30,0,5,14,9,4,2,2,1002,1
134,6,4,29,0,6,7,5,4,2,0,1028,1
135,8,1,38,0,7,7,9,3,4,3,1014,1
136,4,4,32,0,5,5,7,5,1,3,1148,1
137,7,4,35,0,17,18,6,3,1,1,1160,1
138,1,2,4,0,1,3,1,1,1,0,1174,1
139,4,4,25,0,7,6,2,3,3,0,1175,1
140,10,9,49,1,15,12,12,13,9,1,1161,1
141,5,2,21,0,8,10,3,3,3,2,1149,1
142,3,2,31,1,5,10,9,3,1,2,1001,1
143,5,7,32,0,3,8,4,3,3,3,1015,1
144,5,2,9,0,8,4,1,1,0,1,1029,1
145,4,0,14,0,3,3,0,0,1,1,1072,1
146,11,5,44,0,14,13,13,8,4,6,1066,1
147,2,1,39,1,8,1,3,0,1,0,1099,1
148,9,10,64,2,24,22,10,10,7,7,1106,1
149,7,1,19,0,5,4,4,4,1,0,1112,1
150,6,6,52,0,13,19,11,4,2,3,1113,1
151,3,1,20,0,1,7,4,0,2,1,1107,1
152,9,3,39,1,9,14,6,3,8,4,1098,1
153,0,2,3,0,0,0,0,0,0,0,1067,1
154,0,0,3,0,2,3,0,0,0,1,1073,1
155,1,1,7,0,6,0,1,0,1,0,1065,1
156,6,3,34,0,9,12,4,4,5,0,1071,1
157,3,0,4,0,3,3,0,1,1,0,1059,1
158,3,2,13,0,1,1,2,1,1,1,1111,1
159,17,5,58,2,11,16,11,6,8,6,1105,1
160,7,2,33,0,6,10,8,3,5,1,1139,1
161,3,0,13,0,4,4,3,2,3,3,1138,1
162,11,4,36,1,5,6,10,4,0,5,1104,1
163,3,4,12,1,1,8,5,2,3,0,1110,1
164,8,2,24,1,8,8,7,2,2,4,1058,1
165,4,3,26,1,12,3,7,5,2,2,1070,1
166,4,2,27,3,8,4,5,3,1,0,1064,1
167,7,5,37,1,13,7,6,8,4,1,1048,1
168,2,3,16,0,3,2,3,2,1,0,1060,1
169,49,19,161,9,68,52,50,16,17,20,1074,1
170,6,1,16,0,4,11,7,1,2,1,1128,1
171,10,6,71,2,13,27,17,8,5,5,1114,1
172,2,3,11,0,7,3,2,0,1,2,1100,1
173,22,9,88,1,17,19,16,9,4,14,1101,1
174,19,7,63,0,34,19,9,13,11,5,1115,1
175,3,2,39,0,5,8,9,4,2,3,1129,1
176,5,2,25,0,3,8,10,2,3,6,1075,1
177,12,5,41,0,12,13,4,8,2,1,1061,1
178,15,7,59,0,14,16,15,4,5,21,1049,1
179,0,0,5,0,4,5,0,2,1,0,1077,1
180,2,1,5,0,3,0,0,1,1,0,1063,1
181,9,0,19,0,6,6,4,3,5,1,1088,1
182,7,0,35,0,6,6,5,6,1,3,1103,1
183,0,0,2,0,1,3,1,1,0,0,1117,1
184,5,4,29,0,3,8,7,6,1,2,1116,1
185,9,8,64,1,16,13,12,5,3,8,1102,1
186,1,0,2,0,1,1,1,0,0,0,1089,1
187,2,3,8,0,5,0,2,1,0,0,1062,1
188,2,4,28,0,6,8,5,4,1,1,1076,1
